problem_size,condition_number,matrix_type,method,iterations,time,final_residual,relative_error
1000,10000.0,Banded,PCG (Jacobi),13,0.010299716144800186,0.0005024648698042241,7.327050141720079e-07
1000,10000.0,Banded,"PCG (Jacobi, SciPy)",14,0.010885970201343298,0.0005024648692610111,7.327050141720079e-07
1000,10000.0,Banded,PCG (Inverse),1,0.05633396981284022,2.8085910556254248e-11,5.61827088420429e-16
1000,10000.0,Banded,"PCG (Inverse, SciPy)",2,0.0006997981108725071,2.8077342247918294e-11,5.61827088420429e-16
1000,1000000.0,SPD Dense,Gaussian Elimination,0,0.040892023127526045,4.9576305085039735e-09,2.201494126667302e-11
1000,1000000.0,SPD Dense,Steepest Descent,10001,1.736834152135998,260.9937876786089,0.447678970184856
1000,1000000.0,SPD Dense,CG (Custom),4156,0.7156166257336736,0.05240725092540122,6.293899488300715e-05
1000,1000000.0,SPD Dense,CG (SciPy),3899,1.158692023716867,0.05823390223058295,7.67547486372295e-05
1000,1000000.0,SPD Dense,PCG (Jacobi),3733,1.6863540019840002,0.042800246185791424,5.997026486675366e-05
1000,1000000.0,SPD Dense,"PCG (Jacobi, SciPy)",3507,2.4841121858917177,0.05552938186524365,7.391579027235026e-05
1000,1000000.0,SPD Dense,PCG (Inverse),1,0.04872650699689984,9.02636231759398e-05,9.364368683772469e-11
1000,1000000.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.0006882776506245136,9.026367979891245e-05,9.364368683772469e-11
1000,1000000.0,Banded,Gaussian Elimination,0,0.02318926202133298,3.1165376660467626e-09,4.650317158143958e-16
1000,1000000.0,Banded,Steepest Descent,10001,2.815510565880686,284.244458614766,0.23094959734603293
1000,1000000.0,Banded,CG (Custom),1755,0.33070099586620927,0.06358587163695852,1.3614792448196353e-05
1000,1000000.0,Banded,CG (SciPy),1685,0.5635212538763881,0.051702725377014966,1.4685185156031131e-05
1000,1000000.0,Banded,PCG (Jacobi),8,0.0057184877805411816,0.02537089415084466,2.7751187959735205e-05
1000,1000000.0,Banded,"PCG (Jacobi, SciPy)",9,0.006465737242251635,0.025370893868069677,2.7751187959735205e-05
1000,1000000.0,Banded,PCG (Inverse),1,0.04406058322638273,2.343329820657798e-09,4.478383921539366e-16
1000,1000000.0,Banded,"PCG (Inverse, SciPy)",2,0.0006851437501609325,2.343329820657798e-09,4.478383921539366e-16
2000,100.0,SPD Dense,Gaussian Elimination,0,0.18655845383182168,1.5223459080701586e-12,8.435753515318793e-15
2000,100.0,SPD Dense,Steepest Descent,643,0.6270837741903961,1.4830331420272577e-05,2.2741349208473192e-07
2000,100.0,SPD Dense,CG (Custom),83,0.07982091093435884,1.4711935540001118e-05,7.153956314023727e-08
2000,100.0,SPD Dense,CG (SciPy),84,0.1499784649349749,1.47119355799314e-05,7.153956328572386e-08
2000,100.0,SPD Dense,PCG (Jacobi),72,0.1389864613302052,1.4283750227835141e-05,6.554041582797416e-08
2000,100.0,SPD Dense,"PCG (Jacobi, SciPy)",73,0.20512069901451468,1.4283750174416801e-05,6.554041579184089e-08
2000,100.0,SPD Dense,PCG (Inverse),1,0.31598629895597696,9.438748387467572e-12,1.1876038487978226e-14
2000,100.0,SPD Dense,"PCG (Inverse, SciPy)",2,0.0033301510848104954,9.457715430087504e-12,1.1876038487978226e-14
2000,100.0,Banded,Gaussian Elimination,0,0.1779729169793427,1.1630540842826811e-12,8.155003677826467e-16
2000,100.0,Banded,Steepest Descent,10001,10.69430826883763,1.6128724098475067e+153,3.0691747282837733e+150
2000,100.0,Banded,CG (Custom),89,0.0917118638753891,2.0725119650033275e-05,4.546796416626129e-08
